Фамилия;Имя;Отчество;Пол;Возраст;Стаж вождения;Марка автомобиля;Тип страхования;Легкое ДТП;Крупное ДТП;Угон, ДТП без востановления авто;Выплата, руб.
Иванов;Иван;Артемович;муж;23;4;Renault Duster;частичное;0;0;0;0
Козлова;Стася;Максимовна;жен;18;0;Lada 4x4;частичное;1;0;0;114112.7
Иванов;Владимир;Тимурович;муж;30;7;Lada 4x4;полное;0;0;0;0
Козлов ;Богдан;Матвеевич;муж;32;3;Lada Granta;частичное;0;0;0;0
Смирнов;Иван;Алексеевич;муж;52;32;Lada Granta;полное;0;0;0;0
Николаева ;Виктория;Михайловна;жен;67;41;Lada 4x4;полное;1;0;0;59251.9
Фролов ;Алан;Даниилович;муж;79;50;Datsun on-DO;полное;0;0;0;0
Ильин ;Давид;Демидович;муж;42;12;KIA Rio;частичное;0;0;0;0
Васильев;Семён;Евгеньевич;муж;19;0;KIA Rio;частичное;0;0;0;0
Михайлова;Ирина;Никитична;жен;57;33;Lada Granta;частичное;0;0;0;0
Григорьев ;Владислав;Иванович;муж;42;18;Hyundai Solaris;частичное;1;0;0;25551.9
Захаров ;Замир;Иванович;муж;60;39;Renault Logan;полное;0;0;0;0
Михайлова;Виктория;Ярославовна;жен;36;12;Toyota Camry;полное;0;0;0;0
Андреев ;Ярослав;Тимофеевич;муж;54;31;VW Polo;частичное;1;0;0;24125.1
Козлов ;Денис;Тимурович;муж;49;27;Lada 4x4;частичное;0;0;0;0
Новикова;Ульяна;Романовна;жен;47;27;Hyundai Creta;частичное;0;0;1;0
Морозова;Кристина;Артемовна;жен;89;57;KIA Rio;полное;0;0;0;0
Петрова;Юлия;Никитична;жен;35;16;Lada Vesta;полное;0;1;0;231996.5
Попова;Елизавета;Максимовна;жен;25;1;Renault Duster;частичное;0;0;0;0
Ильин ;Даниил;Никитич;муж;54;35;Lada Granta;полное;0;0;0;0
Орлова;Мария;Дмитриевна;жен;61;43;Hyundai Creta;частичное;0;0;0;0
Иванова;Камила;Данииловна;жен;65;32;Datsun on-DO;частичное;0;0;0;0
Соколова;Дарина;Артемовна;жен;32;5;Lada X-Ray;полное;0;0;0;0
Макарова;Камила;Андреевна;жен;64;34;Mazda CX-5;полное;0;0;0;0
Васильев;Тимур;Даниилович;муж;33;12;KIA Sportage;частичное;0;0;0;0
Волков ;Денис;Романович;муж;18;0;Skoda Rapid;частичное;1;0;0;12199.1
Егоров ;Глеб;Даниилович;муж;26;6;VW Tiguan;частичное;0;0;0;0
Волков ;Дмитрий;Иванович;муж;54;31;Toyota Camry;полное;0;0;0;0
Соколова;Полина;Марковна;жен;33;14;Lada 4x4;частичное;0;0;0;0
Семенова ;Есения;Данииловна;жен;51;29;Mazda CX-5;частичное;0;0;0;0
Смирнова;Арина;Захаровна;жен;38;17;KIA Rio;полное;0;0;0;0
Воробьев ;Никита;Глебович;муж;37;17;Lada Granta;частичное;1;0;0;57892.5
Захарова;Елизавета;Ильична;жен;73;54;Toyota RAV 4;полное;0;0;0;0
Королев ;Алексей;Ярославович;муж;47;14;Renault Duster;полное;1;0;0;35087.9
Волков ;Елисей;Елисеевич;муж;23;0;Lada Vesta;полное;1;0;0;88003.4
Максимов ;Дмитрий;Кириллович;муж;38;17;KIA Sportage;частичное;0;0;0;0
Семенов ;Демид;Кириллович;муж;33;9;Mazda CX-5;полное;0;0;0;0
Петров;Артём;Савельевич;муж;40;4;Lada Granta;частичное;0;0;0;0
Павлов ;Владислав;Максимович;муж;67;42;Renault Duster;полное;1;0;0;23586.6
Лебедева;Кристина;Глебовна;жен;32;8;KIA Rio;частичное;0;0;0;0
Попова;София;Андреевна;жен;39;21;Mazda CX-5;полное;1;0;0;111498.1
Попов;Тимофей;Андреевич;муж;31;11;Hyundai Solaris;частичное;0;0;0;0
Захарова;Анна;Аскаровна;жен;72;49;VW Polo;полное;0;0;0;0
Макаров ;Демид;Семенович;муж;54;33;Mazda CX-5;частичное;0;0;0;0
Дмитриева;Полина;Ильична;жен;46;28;Lada Granta;частичное;0;0;0;0
